brand,model,transmission,age,fuel,engine,km,owner,price,location,mileage,power,seats,type
honda,city,manual,4,petrol,1497,22001,,775000,,17.4,117.6,5,
toyota,fortuner,automatic,3,diesel,2755,29456,,3000000,,12.9,174.5,7,
honda,city,manual,11,petrol,1497,57000,,295000,,17,118,5,
maruti,vitara,manual,3,diesel,1248,53000,,745000,,24.3,88.5,5,
bmw,x1,automatic,10,diesel,1995,90000,,700000,,17.05,184,5,
maruti,vitara,manual,4,diesel,1248,20272,,862000,,24.3,88.5,5,
maruti,vitara,manual,5,diesel,1248,70200,,675000,,24.3,88.5,5,
hyundai,i10,manual,5,petrol,1086,42000,,375000,,19.81,68.05,5,
hyundai,grand,manual,3,diesel,1186,50000,,550000,,24,73.97,5,
bmw,x4,automatic,2,petrol,1998,14000,,5700000,,11.31,252,5,
honda,city,manual,13,petrol,1497,68000,,240000,,17,118,5,
maruti,vitara,manual,4,diesel,1248,75000,,775000,,24.3,88.5,5,
honda,city,manual,7,diesel,1498,62000,,475000,,26,98.6,5,
hyundai,santro,manual,14,petrol,1086,120000,,92000,,17.92,62.1,5,
jaguar,xe,automatic,2,diesel,1999,27000,,3200000,,13.6,177,5,
hyundai,creta,manual,6,diesel,1582,78500,,895000,,19.67,126.2,5,
bmw,5,automatic,3,diesel,1995,63000,,3700000,,22.48,187.74,5,
maruti,swift,manual,3,diesel,1248,62000,,600000,,28.4,74,5,
maruti,ciaz,manual,5,diesel,1248,42676,,610000,,28.09,88.5,5,
honda,city,manual,4,petrol,1497,62000,,760000,,17.4,117.6,5,
